Year,Quarter,Month,Day,item_name,Sum of item_price,Sum of order_id,item_type,received_by,time_of_sale,Sum of transaction_amount,transaction_type,Sum of quantity
2022,Qtr 2,April,1,Sandwich,60,691,Fastfood,Mrs.,Evening,420,Cash,7
2022,Qtr 2,April,2,Cold coffee,40,623,Beverages,Mr.,Midnight,600,Cash,15
2022,Qtr 2,April,2,Sandwich,60,572,Fastfood,Mr.,Afternoon,900,Cash,15
2022,Qtr 2,April,3,Aalopuri,20,413,Fastfood,Mrs.,Midnight,200,Online,10
2022,Qtr 2,April,3,Panipuri,20,520,Fastfood,Mrs.,Night,220,Online,11
2022,Qtr 2,April,3,Sandwich,60,394,Fastfood,Mrs.,Morning,60,Cash,1
2022,Qtr 2,April,4,Cold coffee,40,605,Beverages,Mrs.,Afternoon,600,Cash,15
2022,Qtr 2,April,4,Cold coffee,40,334,Beverages,Mrs.,Evening,160,Cash,4
2022,Qtr 2,April,4,Sandwich,60,906,Fastfood,Mr.,Afternoon,900,Cash,15
2022,Qtr 2,April,4,Sandwich,60,510,Fastfood,Mr.,Afternoon,840,Online,14
2022,Qtr 2,April,5,Frankie,50,66,Fastfood,Mrs.,Morning,100,Cash,2
2022,Qtr 2,April,7,Sandwich,60,928,Fastfood,Mr.,Evening,660,Online,11
2022,Qtr 2,April,7,Sandwich,60,650,Fastfood,Mrs.,Morning,780,Online,13
2022,Qtr 2,April,7,Vadapav,20,791,Fastfood,Mr.,Midnight,60,Cash,3
2022,Qtr 2,April,8,Frankie,50,618,Fastfood,Mr.,Evening,50,Online,1
2022,Qtr 2,April,8,Panipuri,20,126,Fastfood,Mrs.,Night,220,Online,11
2022,Qtr 2,April,8,Vadapav,20,500,Fastfood,Mrs.,Midnight,80,Online,4
2022,Qtr 2,April,9,Aalopuri,20,587,Fastfood,Mrs.,Night,200,Cash,10
2022,Qtr 2,April,9,Cold coffee,40,606,Beverages,Mrs.,Night,240,Cash,6
2022,Qtr 2,April,9,Sandwich,60,911,Fastfood,Mr.,Evening,60,Cash,1
2022,Qtr 2,April,9,Vadapav,20,762,Fastfood,Mrs.,Midnight,240,Online,12
2022,Qtr 2,April,10,Aalopuri,20,543,Fastfood,Mrs.,Evening,300,Cash,15
2022,Qtr 2,April,10,Frankie,50,925,Fastfood,Mrs.,Afternoon,200,Online,4
2022,Qtr 2,April,10,Vadapav,20,125,Fastfood,Mrs.,Midnight,140,Cash,7
2022,Qtr 2,April,11,Vadapav,20,203,Fastfood,Mrs.,Midnight,120,Online,6
2022,Qtr 2,April,12,Sandwich,60,715,Fastfood,Mr.,Morning,60,Online,1
2022,Qtr 2,April,12,Vadapav,20,889,Fastfood,Mr.,Midnight,200,Online,10
2022,Qtr 2,April,14,Sandwich,60,16,Fastfood,Mrs.,Midnight,660,Cash,11
2022,Qtr 2,April,15,Sugarcane juice,25,549,Beverages,Mr.,Afternoon,75,Online,3
2022,Qtr 2,April,16,Frankie,50,230,Fastfood,Mr.,Afternoon,300,Online,6
2022,Qtr 2,April,16,Sandwich,60,555,Fastfood,Mrs.,Evening,360,Cash,6
2022,Qtr 2,April,16,Sugarcane juice,25,231,Beverages,Mr.,Night,75,Cash,3
2022,Qtr 2,April,17,Frankie,50,248,Fastfood,Mrs.,Midnight,250,Online,5
2022,Qtr 2,April,17,Sandwich,60,675,Fastfood,Mr.,Night,720,Cash,12
2022,Qtr 2,April,17,Sugarcane juice,25,976,Beverages,Mrs.,Morning,275,Cash,11
2022,Qtr 2,April,18,Aalopuri,20,211,Fastfood,Mr.,Morning,240,Cash,12
2022,Qtr 2,April,19,Cold coffee,40,313,Beverages,Mr.,Midnight,40,Cash,1
2022,Qtr 2,April,19,Sandwich,60,168,Fastfood,Mrs.,Midnight,240,Cash,4
2022,Qtr 2,April,20,Aalopuri,20,846,Fastfood,Mr.,Afternoon,100,Online,5
2022,Qtr 2,April,20,Cold coffee,40,680,Beverages,Mr.,Night,160,Cash,4
2022,Qtr 2,April,20,Cold coffee,40,815,Beverages,Mrs.,Afternoon,480,Online,12
2022,Qtr 2,April,21,Aalopuri,20,391,Fastfood,Mrs.,Night,20,Online,1
2022,Qtr 2,April,21,Panipuri,20,293,Fastfood,Mrs.,Morning,160,Online,8
2022,Qtr 2,April,21,Sugarcane juice,25,424,Beverages,Mrs.,Midnight,225,Online,9
2022,Qtr 2,April,22,Panipuri,20,694,Fastfood,Mr.,Midnight,280,Cash,14
2022,Qtr 2,April,23,Panipuri,20,882,Fastfood,Mr.,Morning,180,Online,9
2022,Qtr 2,April,23,Sandwich,60,195,Fastfood,Mrs.,Night,240,Cash,4
2022,Qtr 2,April,23,Sugarcane juice,25,581,Beverages,Mr.,Afternoon,325,Cash,13
2022,Qtr 2,April,23,Vadapav,20,232,Fastfood,Mrs.,Night,260,Cash,13
